user_id,skill_name,correct,order_id,correct_predictions,state_predictions,modeling_kc_label,unit,topic_group,description,num_fine_kcs,fine_kc_ids,num_items,num_primary_items,num_student_records,mean_percent_score,assignments,merge_rationale,rank,unit_description,weight,tier,estimated_exam_share_pct,unit_exam_weighting,direct_dependents,downstream_dependents,weighted_direct_edge_count,weight_rationale,2026_27_revision_note
S001,MKC.U3.05.blocking_matching_blinding_confounding,1,0,0.4399936241602692,0.1720711246192338,"Blocking, matched pairs, blinding, and confounding",Unit 3,Experimental design,"Recognize blocked/matched-pairs designs, placebo/blinding, confounding, and design flaws.",5,KC.U3.21.randomized_block_design; KC.U3.22.matched_pairs_design; KC.U3.23.placebo_blinding; KC.U3.24.confounding_variables; KC.U3.26.experimental_design_flaws,20,18,497,0.4909,HW6;ME2;ME3;MF1;MF2,Merged because these features refine experimental design and address sources of variability or bias.,25,Collecting Data,57,Tier 3: medium-high,2.63,12%–15%,1,1,3,high AP unit weighting,
S001,MKC.U8.02.chi_square_two_way_structure,0,1,0.3977354317408746,0.4844387112443844,"Two-way chi-square structure, hypotheses, and conditions",Unit 8,Chi-square inference,"Select homogeneity or independence procedures, write hypotheses, find expected counts/degrees of freedom, and check conditions.",8,KC.U8.12.two_way_expected_counts; KC.U8.13.homogeneity_procedure_selection; KC.U8.14.independence_procedure_selection; KC.U8.15.homogeneity_vs_independence_distinction; KC.U8.16.homogeneity_hypotheses; KC.U8.17.independence_hypotheses; KC.U8.18.two_way_chi_square_conditions; KC.U8.19.two_way_degrees_freedom,34,26,805,0.4758,HW22;ME4;MF1;MF2,Merged because these KCs define the structure and assumptions of two-way chi-square tests.,34,Inference for Categorical Data: Chi-Square,35,Tier 4: medium,1.35,2%–5%,1,1,3,low AP unit weighting,
S001,MKC.U4.04.binomial_model,0,2,0.4434287337868903,0.4134026605607083,Binomial model,Unit 4,Binomial distributions,"Check binomial conditions, use binomial formulas, compute exact/cumulative probabilities, and calculate binomial mean/standard deviation.",5,KC.U4.23.binomial_conditions; KC.U4.24.binomial_exact_probability; KC.U4.25.binomial_cumulative_probability; KC.U4.26.binomial_mean_sd; KC.U4.27.binomial_formula_interpretation,40,27,995,0.5382,HW10;HW11;HW8;HW9;ME2;ME3;MF1;MF2,Merged because these KCs are all components of binomial modeling.,13,"Probability, Random Variables, and Probability Distributions",74,Tier 2: high,2.66,10%–20%,2,2,2,high AP unit weighting; aligns with high-weight probability/simulation skill,
S001,MKC.U6.02.one_prop_hypothesis_tests,0,3,0.3938866711720322,0.3007411590665383,One-proportion hypothesis tests,Unit 6,Inference for proportions,"Select, set up, perform, and conclude one-proportion z-tests, including p-values and test/CI connections.",8,KC.U6.11.one_prop_test_procedure_selection; KC.U6.12.one_prop_hypotheses; KC.U6.13.one_prop_test_conditions; KC.U6.14.one_prop_test_statistic; KC.U6.15.p_value_calculate_interpret; KC.U6.16.hypothesis_test_decision_conclusion; KC.U6.17.ci_test_connection_one_prop; KC.U6.33.parameter_statistic_inference_language,58,40,1407,0.489,HW14;HW15;HW16;HW17;HW26;HW27;ME3;ME4;MF1;MF2,Merged because these KCs form a complete one-proportion hypothesis-test procedure.,3,Inference for Categorical Data: Proportions,96,Tier 1: critical,3.69,12%–15%,7,13,14,directly supports 7 MKCs; high AP unit weighting,
S001,MKC.U9.01.slope_inference_foundations_ci,0,4,0.4804589091999087,0.701717610090171,Regression slope inference foundations and confidence intervals,Unit 9,Inference for regression slope,"Select slope-inference procedures, identify slope parameters and output, compute/interpret confidence intervals, and evaluate claims.",9,KC.U9.01.regression_inference_procedure_selection; KC.U9.02.population_regression_slope_parameter; KC.U9.03.regression_output_slope_se_df; KC.U9.04.slope_ci_critical_value_margin_error; KC.U9.05.slope_ci_compute; KC.U9.06.slope_ci_interpret_context; KC.U9.07.slope_ci_claim_evaluation; KC.U9.12.slope_interval_width_sample_size; KC.U9.19.lsrl_equation_from_data,25,17,590,0.5619,HW23;HW24;HW25;MF1;MF2,Merged because these KCs form the confidence-interval side of regression inference and basic equation/context work.,39,Inference for Quantitative Data: Slopes,32,Tier 4: medium,1.21,2%–5%,1,2,3,low AP unit weighting,2026-27 AP revision removes Unit 9 slope inference; lower if targeting May 2027+ only.
S001,MKC.U4.04.binomial_model,0,5,0.3885296874911003,0.2660974203526979,Binomial model,Unit 4,Binomial distributions,"Check binomial conditions, use binomial formulas, compute exact/cumulative probabilities, and calculate binomial mean/standard deviation.",5,KC.U4.23.binomial_conditions; KC.U4.24.binomial_exact_probability; KC.U4.25.binomial_cumulative_probability; KC.U4.26.binomial_mean_sd; KC.U4.27.binomial_formula_interpretation,40,27,995,0.5382,HW10;HW11;HW8;HW9;ME2;ME3;MF1;MF2,Merged because these KCs are all components of binomial modeling.,13,"Probability, Random Variables, and Probability Distributions",74,Tier 2: high,2.66,10%–20%,2,2,2,high AP unit weighting; aligns with high-weight probability/simulation skill,
S001,MKC.U6.02.one_prop_hypothesis_tests,0,6,0.3724344423659925,0.2212768405431835,One-proportion hypothesis tests,Unit 6,Inference for proportions,"Select, set up, perform, and conclude one-proportion z-tests, including p-values and test/CI connections.",8,KC.U6.11.one_prop_test_procedure_selection; KC.U6.12.one_prop_hypotheses; KC.U6.13.one_prop_test_conditions; KC.U6.14.one_prop_test_statistic; KC.U6.15.p_value_calculate_interpret; KC.U6.16.hypothesis_test_decision_conclusion; KC.U6.17.ci_test_connection_one_prop; KC.U6.33.parameter_statistic_inference_language,58,40,1407,0.489,HW14;HW15;HW16;HW17;HW26;HW27;ME3;ME4;MF1;MF2,Merged because these KCs form a complete one-proportion hypothesis-test procedure.,3,Inference for Categorical Data: Proportions,96,Tier 1: critical,3.69,12%–15%,7,13,14,directly supports 7 MKCs; high AP unit weighting,
S001,MKC.U1.06.normal_distribution_calculations,1,7,0.5582687526431697,0.6738432074166171,Normal distribution modeling and calculations,Unit 1,Normal distributions,"Assess normal-model appropriateness and use normal/empirical-rule reasoning for probabilities, percentiles, and reverse calculations.",4,KC.U1.20.normal_model_appropriateness; KC.U1.21.empirical_rule_sd; KC.U1.22.normal_tail_interval_probability; KC.U1.23.inverse_normal_percentile,29,21,720,0.5396,HW11;HW3;HW4;ME1;ME3;MF1;MF2,Merged because these KCs are all normal-model applications.,6,Exploring One-Variable Data,86,Tier 1: critical,3.46,15%–23%,2,25,4,foundation for 25 downstream MKCs; high AP unit weighting,
S001,MKC.U2.03.correlation_form_outliers_transform,0,8,0.5018479287975137,0.6356003598736786,"Correlation, form, outliers, and transformations",Unit 2,Correlation and form,"Use correlation, distinguish linear/nonlinear patterns, identify influential points, and recognize transformations for linearization.",5,KC.U2.09.correlation_properties; KC.U2.10.correlation_interpretation; KC.U2.11.linear_vs_nonlinear_form; KC.U2.12.outliers_leverage_influence; KC.U2.21.transformations_linearization,33,19,818,0.5348,HW23;HW25;HW4;ME1;ME3;MF2,Merged because these skills all evaluate the form and strength of a quantitative relationship.,36,Exploring Two-Variable Data,34,Tier 4: medium,1.37,5%–7%,2,4,4,specialized topic with limited downstream dependence,
S001,MKC.U5.05.diff_means_sampling_distribution,0,9,0.5352807874862728,0.3479900244288421,Sampling distribution of a difference in sample means,Unit 5,Difference in means,"Find mean, standard error, normal conditions, and units for differences in sample means.",4,KC.U5.21.difference_sample_means_mean; KC.U5.22.difference_sample_means_standard_error; KC.U5.23.difference_sample_means_normal_conditions; KC.U5.24.difference_sample_means_units,7,7,169,0.574,HW13;ME3,Merged because these KCs describe the sampling distribution of x-bar1 minus x-bar2.,32,Sampling Distributions,40,Tier 4: medium,1.25,7%–12%,0,0,0,aligns with high-weight probability/simulation skill,
